O,N,B,S,P,SSA,Vt,mic/mes,ID/IG,Elyte,CurCol,Active mass loading,DV,I/m,Cs
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,0.5,48.3
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,1,43.4
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,2,38.9
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,3,36.5
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,4,34.8
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,5,33.2
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,7,30.2
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,10,26.7
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,15,24.7
7.71,0,0,0,0,500,0.315,1.645,0.97,1M ZnSO4,stainless-steel,1.2,1.6,20,21.6
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,0.5,177.7
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,1,148.5
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,2,135.5
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,3,127.9
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,4,122.1
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,5,117
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,7,107.5
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,10,102.9
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,15,91.3
8.06,0,0,0,0,1020,0.721,1.36,1.1,1M ZnSO4,stainless-steel,1.2,1.6,20,85.5
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,0.5,108.2
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,1,96.6
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,2,86.9
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,3,82
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,4,78.7
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,5,75.2
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,7,72
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,10,67.1
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,15,60.5
9.3,0,0,0,0,950,0.784,1.143,1.18,1M ZnSO4,stainless-steel,1.2,1.6,20,57
10.4,3.6,0,0,0,2085,2.44,,1.05,1M Zn(CF3SO3)2,graphite paper,2,1.6,0.25,97
10.4,3.6,0,0,0,2085,2.44,,1.05,1M Zn(CF3SO3)2,graphite paper,2,1.6,20,61.401
5.5,4.4,0,0,0,2526,2.69,,1.07,1M Zn(CF3SO3)2,graphite paper,2,1.6,0.25,124
5.5,4.4,0,0,0,2526,2.69,,1.07,1M Zn(CF3SO3)2,graphite paper,2,1.6,20,81.716
5.5,4.4,0,0,0,2526,2.69,,1.07,1M Zn(CF3SO3)2,graphite paper,15,1.6,0.25,78
4,2.5,0,0,0,2146,2.22,,1.16,1M Zn(CF3SO3)2,graphite paper,2,1.6,0.25,95.4
